20
Java                     1 1
C                        2 2
C++                      3 3
C#                       4 5
Objective-C              5 8
PHP                      6 4
Visual Basic             7 7
Python                   8 6
Per1                     9 9
JavaScript               10 12
Ruby                     11 11
Delphi                   12 10
Lisp                     13 13
PL                       14 23
Trasact                  15 14
Pascal                   16 16
Ada                      17 18
Logo                     18 35
Assembly                 19 17
ABAP                     20 25
